x1,x2,y,a
-6.680907702036738,2.311887104071824,1,2
1.08146677090454,0.5246172658034887,0,1
4.348951387852627,-4.070285781709151,0,2
-0.19146898495525633,-0.36690901544929816,1,1
-0.8418962110155558,-0.5762227884719399,0,1
-5.592314729856742,1.5292303283075943,1,2
-5.276685990821857,0.6450239204737466,1,2
-0.9651036522570121,0.06977981048160475,0,1
-5.065911093052934,2.945821787228844,1,2
0.20543385139190018,0.476985119989712,1,1
2.4564061028456563,-4.271183973821376,0,2
0.5206431461950685,0.4428998102650636,1,1
0.920311887990009,0.5323515236588944,0,1
0.9700335684460879,0.5472616121488373,0,1
5.888795054345518,-6.302259063989882,0,2
0.4394650214593811,-0.29762399096476244,1,1
3.286773870490661,-3.977328234446638,0,2
-6.423573399287857,0.3042196657603391,1,2
5.714552525473707,-3.967090780365885,0,2
0.4603903839223467,-0.2773502689597206,1,1
5.3066411948245396,-4.420389275318598,0,2
0.8995329022409199,-0.535237862096276,0,1
3.5832165639550344,-5.369848625499143,0,2
0.7384067842031344,-0.5260788689662766,0,1
2.7048546191409413,-3.2685623446839744,0,2
4.090840075364868,-5.916610268533187,0,2
4.10657604115622,-4.3071813080399535,0,2
-5.294999367637428,1.6128750619443655,1,2
3.895694480416293,-4.097461735221096,0,2
-0.7457152543010356,0.7191428177604302,0,1
4.999302310884584,-5.186540317552354,0,2
-7.1812519295565975,1.5716342835785433,1,2
3.4384114293913854,-5.586378615294993,0,2
-0.9410061503109385,0.7144281821590578,0,1
0.5721732150124994,-0.7056830384086712,0,1
-0.41406892731862754,0.1131754364146299,1,1
0.990007697266881,0.06425679018633901,0,1
0.45953823194496796,-0.09601128081153473,1,1
-4.925726067662074,1.1382210002146893,1,2
-5.280996800566469,1.599138200628584,1,2
0.0901295869314665,-0.2344576849530742,1,0
0.07621832327803744,-0.6010283502327451,1,1
1.0531857051727986,0.2743337737198016,0,1
0.6405862996903938,0.9511212712117807,0,1
5.7923112970624615,-3.4421545541811747,0,2
-4.628471994756872,0.08291144526714411,1,2
-4.662750046926957,1.5755836072880924,1,2
0.1376794440605253,1.0459614128329495,0,1
0.351151639694231,-0.06340492334142,1,1
2.672549899423551,-4.01522410420907,0,2
